fro,w,faʁsizəʁe,farsizeré
it,r,antiquato,antikwato
es,r,horno,oɾno
ar,r,آلَمَ,aːlama
fr,r,rééveillée,ʁeevɛje
sh,r,obzir,ôbzir
fr,r,cusparin,kyspaʁɛ̃
br,r,meuz,møs
zh,r,顶客,tiŋ˨˩˦kɤ˥˩
zh,w,su˥˩tɕiŋ˥˩,肃静
eno,r,nmtodhbkb,dezironte
eo,r,sekiĝi,sekidʒi
en,r,hinter,hɪntɚ
fi,r,lohkoontuen,lohkoːntuen
eno,w,trafikotsirklo,jwxlhtbixtpjst
fi,w,touhwɪlija,touhuilija
ent,w,fojni,fojni
fi,r,merkkifarkut,merkːɪfarkut
sh,w,ʋraɡolǎntʃitɕ,vragolančić
tr,r,remim,remɪm
ru,w,vbɪɡət,вбегать
ko,r,얼루기,ʌ̹ɭɭuɡi
pt,w,kubu,cubo
ar,w,naqaʃna,نَقَشْنَ
ko,r,곰지락대다,komdʑiɾak̚t͈eda
ru,w,pəlɪtɪɪzm,политеизм
it,r,ologramma,oloɡramma
sh,w,donǒsilitsa,donosilica
eno,r,ʒknʒs,ʃvito
ko,w,tabaɭdabaɭ,다발다발
fro,w,bɑ̃ditism,bãditism
nl,w,bəsprujə,besproeien
fr,w,ʁəsɛ̃bɔlizɛ,resymbolisaient
zh,r,情资,tɕiŋ˧˥tsɿ˥˥
fro,r,désãktuarizeryõ,desɑ̃ktɥaʁizəʁjɔ̃
br,r,amprevaneta,ãmprevãneta
fro,w,faʁaɔ̃,faraõ
ru,r,метеоинформация,mɪtɪəɪnfərmətsɨjə
pt,w,kɐlẽdaɾju,calendário
it,r,mobiliare,mobiljare
eo,r,difekti,difekti
es,r,desazogando,ando
br,w,byhezek,buhezek
en,w,æksiəl,axial
pt,w,kõplikaɾ,complicar
zh,r,在职,tsai˥˩tʂʅ˧˥
nl,w,ɑfʋɑχtənt,afwachtend
ko,r,서양사,sʰʌ̹jaŋsʰa
es,w,ando,desmontando
sh,r,nabuhlina,nǎbuxlina
ru,r,унионизм,ʊnɪənɪzm
br,r,ae,ea
fi,w,selluvanu,selluvanu
de,r,beschauter,bəʃaʊtɐ
de,r,zugeneigten,tsuɡənaɪktn
fr,r,machiavélisons,makjavelizɔ̃
en,r,known,nəʊn
eno,r,whvfx,erare
nl,r,professie,profɛsi
fi,r,olon,olon
